concepto,total,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,fecha
Disponibilidad Inicial,2658556209.0,2658556209.0,2385713797.0,2066788433.0,2562136314.0,2427102700.0,1851547528.0,2283813850.0,2493112090.0,2910927578.0,2025-09-30
Ingresos,3932914671.0,95245866.0,161933001.0,1034337418.0,119626915.0,232568125.0,657609325.0,546865806.0,801211905.0,283516310.0,2025-09-30
Banco de Mexico,2430707187.0,53397030.0,77219444.0,840365819.0,152335485.0,142070155.0,540885113.0,402941885.0,41498899.0,179993357.0,2025-09-30
Cuno Corriente,2370102898.0,47753772.0,71605740.0,834752116.0,143489662.0,135348838.0,534500910.0,396077441.0,34740465.0,171833954.0,2025-09-30
Metal Fino,60604289.0,5643258.0,5613704.0,5613703.0,8845823.0,6721317.0,6384203.0,6864444.0,6758434.0,8159403.0,2025-09-30
Otros Clientes,760606909.0,5339884.0,1902735.0,16227939.0,15056112.0,24238830.0,16425309.0,12830785.0,651761225.0,16824090.0,2025-09-30
Otros Ingresos,741600575.0,36508952.0,82810822.0,177743660.0,-47764682.0,66259140.0,100298903.0,131093136.0,107951781.0,86698863.0,2025-09-30
Egresos,3835898733.0,368088278.0,480858365.0,538989537.0,254660529.0,808123297.0,225343003.0,337567566.0,383396417.0,438871741.0,2025-09-30
Servicios Personales,277782693.0,35352266.0,24499303.0,30236252.0,34652908.0,33728268.0,25793781.0,36141347.0,26065714.0,31312854.0,2025-09-30
Materiales y Suministros,2993824504.0,277239755.0,379731453.0,393006241.0,194164570.0,718586432.0,146170309.0,234925850.0,331320555.0,318679339.0,2025-09-30
Servicios Generales,145418925.0,11360728.0,3878123.0,45874355.0,8019982.0,22552203.0,8940715.0,19710269.0,14972945.0,10109605.0,2025-09-30
Otras Erogaciones,1999662.0,69401.0,489516.0,-29574.0,532077.0,-85508.0,424456.0,30000.0,566294.0,3000.0,2025-09-30
Inversion Fisica,103341272.0,,5994613.0,1213655.0,-1.0,8612868.0,13408062.0,1860492.0,51541050.0,20710533.0,2025-09-30
Operaciones Ajenas,313531677.0,44066128.0,66265357.0,68688608.0,17290993.0,24729034.0,30605680.0,44899608.0,-41070141.0,58056410.0,2025-09-30
Disponibilidad Final,2755572147.0,2385713797.0,2066788433.0,2562136314.0,2427102700.0,1851547528.0,2283813850.0,2493112090.0,2910927578.0,2755572147.0,2025-09-30
Balance de Operaciones,97015938.0,-272842412.0,-318925364.0,495347881.0,-135033614.0,-575555172.0,432266322.0,209298240.0,417815488.0,-155355431.0,2025-09-30
